id,name,artist,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,uri
3fV9z98dnQLSIPIMMJXCm7,Veleno 7,Gemitaiz,0.843,0.363,132.991,0.0601,0.156,1.24e-05,4,0.806,6,173371,-6.237,0.327,0,spotify:track:3fV9z98dnQLSIPIMMJXCm7
3nlqyVPhWapJasnrSibqKP,Con un Farol,La Vela Puerca,0.842,0.162,138.983,0.0317,0.0263,0.00831,4,0.546,4,198050,-8.146,0.946,1,spotify:track:3nlqyVPhWapJasnrSibqKP
3pFTpADmXmYZHvDYuIy0v7,Forgive Me,Rels B,0.553,0.0973,110.065,0.0708,0.606,0.0,4,0.74,3,216000,-7.853,0.163,0,spotify:track:3pFTpADmXmYZHvDYuIy0v7
1bkkbtMn3fitbaxeReKFd8,Santoro e peyote,J-AX,0.868,0.693,110.034,0.0568,0.318,0.0,4,0.771,5,223707,-2.39,0.932,1,spotify:track:1bkkbtMn3fitbaxeReKFd8
5ZUbSBnGDbmBGcH2l1575M,Un domani (feat. Mr.Rain),Annalisa,0.832,0.118,135.007,0.0906,0.226,0.0,4,0.745,7,223827,-5.248,0.839,1,spotify:track:5ZUbSBnGDbmBGcH2l1575M
3HcKAD0mL8ZEFzxhaNRSzq,Ti Ho Perso,Ernia,0.52,0.154,139.894,0.084,0.156,0.00172,4,0.717,10,198066,-7.062,0.359,1,spotify:track:3HcKAD0mL8ZEFzxhaNRSzq
0naXBzJ3g4PFwqk6JFS74r,La Revancha,La Vela Puerca,0.802,0.0966,151.996,0.0359,0.0647,1.97e-05,4,0.536,2,206461,-9.122,0.835,1,spotify:track:0naXBzJ3g4PFwqk6JFS74r
74ZOwYUoy4ziYvEH5D7tt6,Mamma,Ghali,0.889,0.147,139.996,0.0326,0.115,0.0,4,0.547,9,179815,-4.54,0.892,0,spotify:track:74ZOwYUoy4ziYvEH5D7tt6
6QZqTHoe5BSdOTMllulIv1,Allenamento #3,Capo Plaza,0.574,0.289,150.075,0.375,0.153,0.0,4,0.686,1,166404,-8.304,0.232,1,spotify:track:6QZqTHoe5BSdOTMllulIv1
0DRKnh0BloxJHyhXkfbiX8,Assenzio (feat. Stash & Levante),J-AX,0.64,0.108,160.009,0.187,0.341,0.0,4,0.554,0,250533,-7.587,0.641,1,spotify:track:0DRKnh0BloxJHyhXkfbiX8
2DwLBlnwGFc9o7TP2QM8ug,Blanco y Negro,Nikone,0.65,0.269,170.001,0.152,0.163,0.0,4,0.504,7,202200,-7.803,0.112,0,spotify:track:2DwLBlnwGFc9o7TP2QM8ug
4xNiin4rPdCovstHbxofXJ,I'm Not The Only One,Mery Granados,0.106,0.0931,175.122,0.0705,0.77,1.83e-06,4,0.6,7,213250,-9.925,0.336,1,spotify:track:4xNiin4rPdCovstHbxofXJ
573ZF9B8MXJaioqJ5yNeMU,Narco Jr.,Aleman,0.583,0.0852,117.964,0.0419,0.00354,0.0,4,0.862,6,202118,-6.378,0.488,0,spotify:track:573ZF9B8MXJaioqJ5yNeMU
74yNtds3aWUlLbKaRg2kfC,De la Mano,La Vela Puerca,0.77,0.254,148.963,0.0413,0.0249,2.7e-06,4,0.51,4,200394,-6.912,0.878,0,spotify:track:74yNtds3aWUlLbKaRg2kfC
30Cste6qnaVsOethYhyoAn,24/7,MadMan,0.651,0.132,127.045,0.1,0.315,0.0,4,0.904,5,167659,-7.176,0.536,0,spotify:track:30Cste6qnaVsOethYhyoAn
1vKpHTveVVpoGs4ti0hsFW,Resulta,RIKI,0.644,0.126,93.959,0.249,0.151,5.55e-06,4,0.835,8,176000,-4.498,0.69,0,spotify:track:1vKpHTveVVpoGs4ti0hsFW
2g4qZQiGxtSIpaTUcq95Qw,Maria Salvador (with Il Cile),J-AX,0.831,0.324,97.037,0.162,0.166,0.0,4,0.743,0,223053,-2.955,0.855,0,spotify:track:2g4qZQiGxtSIpaTUcq95Qw
29Bw35uHUmDXZ5k7I6Z4RR,Winner,Rels B,0.593,0.337,82.942,0.292,0.716,0.0,4,0.72,6,154880,-7.681,0.815,1,spotify:track:29Bw35uHUmDXZ5k7I6Z4RR
56mbNpJVn5WQhOlsOvb2A0,La Soledad,Bersuit Vergarabat,0.679,0.241,92.02,0.0392,0.105,0.0,4,0.63,9,263933,-4.423,0.774,0,spotify:track:56mbNpJVn5WQhOlsOvb2A0
28iX9xaEUSAudD2joWmlAb,Sin Palabras,La Vela Puerca,0.762,0.101,149.986,0.0411,0.00224,1.46e-05,4,0.662,5,202040,-4.546,0.875,1,spotify:track:28iX9xaEUSAudD2joWmlAb
3mQprbUqgdOEs9OtrB2QZK,False Start,Oriana,0.798,0.156,112.062,0.065,0.384,3.77e-05,4,0.799,0,211375,-5.636,0.361,0,spotify:track:3mQprbUqgdOEs9OtrB2QZK
6pf9CBQ41ckDI6qrrQHjEm,Love Yourself,Mery Granados,0.207,0.23,96.112,0.12,0.745,0.0,4,0.745,1,185000,-15.082,0.557,0,spotify:track:6pf9CBQ41ckDI6qrrQHjEm
